,count
2024-04-06 09:27:00,0.0
2024-04-06 09:31:00,0.0
2024-04-06 09:35:00,0.0
2024-04-06 10:16:00,0.0
2024-04-06 20:56:00,0.0
2024-04-06 22:04:00,0.0
2024-04-06 22:24:00,0.0
2024-04-06 23:33:00,0.0
2024-04-07 00:17:00,0.0
2024-04-07 00:28:00,0.0
2024-04-07 02:08:00,0.0
2024-04-07 03:35:00,0.0
2024-04-07 05:40:00,0.0
2024-04-07 05:47:00,0.0
2024-04-07 06:30:00,0.0
2024-04-08 00:28:00,0.0
2024-04-08 00:46:00,0.0
2024-04-08 01:17:00,0.0
2024-04-08 01:43:00,0.0
2024-04-08 03:43:00,0.0
2024-04-08 04:47:00,0.0
2024-04-08 08:10:00,0.0
2024-04-08 08:46:00,0.0
2024-04-09 22:17:00,0.0
2024-04-09 23:13:00,0.0
2024-04-14 21:51:00,0.0
2024-04-14 21:55:00,0.0
2024-04-14 22:06:00,0.0
2024-04-14 22:10:00,0.0
2024-04-15 07:12:00,0.0
2024-04-15 07:21:00,0.0
2024-04-15 22:43:00,0.0
2024-04-15 22:55:00,0.0
2024-04-15 22:56:00,0.0
2024-04-15 23:02:00,0.0
2024-04-15 23:03:00,0.0
2024-04-15 23:15:00,0.0
2024-04-15 23:16:00,0.0
2024-04-15 23:23:00,0.0
2024-04-15 23:29:00,0.0
2024-04-15 23:33:00,0.0
2024-04-15 23:38:00,0.0
2024-04-15 23:39:00,0.0
2024-04-15 23:44:00,0.0
2024-04-15 23:50:00,0.0
2024-04-15 23:54:00,0.0
2024-04-15 23:55:00,0.0
2024-04-16 00:00:00,0.0
2024-04-16 04:14:00,0.0
2024-04-16 04:29:00,0.0
2024-04-16 04:51:00,0.0
2024-04-16 04:56:00,0.0
2024-04-16 05:02:00,0.0
2024-04-16 05:04:00,0.0
2024-04-16 05:09:00,0.0
2024-04-16 05:16:00,0.0
2024-04-16 05:21:00,0.0
2024-04-16 05:22:00,0.0
2024-04-16 05:33:00,0.0
2024-04-16 06:36:00,0.0
2024-04-17 04:19:00,0.0
2024-04-17 04:37:00,0.0
2024-04-17 04:44:00,0.0
2024-04-17 04:52:00,0.0
2024-04-17 06:35:00,0.0
2024-04-17 06:54:00,0.0
2024-04-17 15:58:00,0.0
2024-04-17 16:14:00,0.0
2024-04-17 17:33:00,0.0
2024-04-17 17:38:00,0.0
2024-04-17 19:58:00,0.0
2024-04-17 20:10:00,0.0
2024-04-17 20:54:00,0.0
2024-04-17 21:03:00,0.0
2024-04-17 21:07:00,0.0
2024-04-17 21:08:00,0.0
2024-04-17 21:14:00,0.0
2024-04-17 22:26:00,0.0
2024-04-17 23:10:00,0.0
2024-04-17 23:46:00,0.0
2024-04-17 23:50:00,0.0
2024-04-18 00:03:00,0.0
2024-04-18 00:06:00,0.0
2024-04-18 03:32:00,0.0
2024-04-18 04:10:00,0.0
2024-04-18 04:18:00,0.0
2024-04-18 04:51:00,0.0
2024-04-18 17:55:00,0.0
2024-04-18 18:07:00,0.0
2024-04-18 18:55:00,0.0
2024-04-18 19:01:00,0.0
2024-04-18 19:14:00,0.0
2024-04-18 19:18:00,0.0
2024-04-18 19:23:00,0.0
2024-04-18 19:30:00,0.0
2024-04-18 21:27:00,0.0
2024-04-18 21:46:00,0.0
2024-04-18 22:25:00,0.0
2024-04-18 22:26:00,0.0
2024-04-18 22:35:00,0.0
2024-04-18 22:47:00,0.0
2024-04-18 23:22:00,0.0
2024-04-18 23:31:00,0.0
2024-04-18 23:37:00,0.0
2024-04-19 03:32:00,0.0
2024-04-19 03:43:00,0.0
2024-04-19 20:20:00,0.0
2024-04-19 20:51:00,0.0
2024-04-19 21:19:00,0.0
2024-04-19 22:06:00,0.0
2024-04-19 23:07:00,0.0
2024-04-19 23:08:00,0.0
2024-04-19 23:13:00,0.0
2024-04-20 00:09:00,0.0
2024-04-20 00:28:00,0.0
2024-04-20 00:49:00,0.0
2024-04-20 00:54:00,0.0
2024-04-20 05:31:00,0.0
2024-04-20 06:31:00,0.0
2024-04-20 08:45:00,0.0
2024-04-20 08:49:00,0.0
2024-04-20 14:13:00,0.0
2024-04-20 14:37:00,0.0
2024-04-20 18:10:00,0.0
2024-04-20 18:24:00,0.0
2024-04-20 20:46:00,0.0
2024-04-20 21:48:00,0.0
2024-04-20 23:13:00,0.0
2024-04-20 23:23:00,0.0
2024-04-21 04:51:00,0.0
2024-04-21 05:48:00,0.0
2024-04-21 18:27:00,0.0
2024-04-21 18:31:00,0.0
2024-04-21 18:48:00,0.0
2024-04-21 19:14:00,0.0
2024-04-21 23:21:00,0.0
2024-04-21 23:28:00,0.0
2024-04-22 00:04:00,0.0
2024-04-22 00:21:00,0.0
2024-04-22 00:28:00,0.0
2024-04-22 00:45:00,0.0
2024-04-22 02:11:00,0.0
2024-04-22 03:12:00,0.0
2024-04-22 04:47:00,0.0
2024-04-22 04:58:00,0.0
2024-04-22 21:02:00,0.0
2024-04-22 21:12:00,0.0
2024-04-22 21:22:00,0.0
2024-04-22 21:29:00,0.0
2024-04-22 21:30:00,0.0
2024-04-22 21:41:00,0.0
2024-04-22 21:43:00,0.0
2024-04-22 22:04:00,0.0
2024-04-22 22:06:00,0.0
2024-04-22 22:18:00,0.0
2024-04-23 02:29:00,0.0
2024-04-23 02:44:00,0.0
2024-04-23 04:30:00,0.0
